offreId,competenceId,confiance,sourceMethod,candidateText,candidateKind,evidence,candidateScore,matchKey,matchScore
OFF_001,DEVELOPPER,1.0,hybrid_soft_sections+verbs+NP+spacy+fuzzy,developper,VERB,"Tu disposes d’un véritable attrait pour les environnements virtualisés et souhaites développer tes compétences dans un contexte technique exigeant, au cœur des systèmes critiques et innovants ?",2.75,developper,100.0
OFF_001,IMPLANTER,1.0,hybrid_soft_sections+verbs+NP+spacy+fuzzy,implanter,VERB,"Ton profil
Issu.e d’un cycle d’ingénieur généraliste/Telecom, tu es interessé.e par nos activités innovantes implantées partout dans le monde ?",1.2,implanter,100.0
OFF_001,APPORTER,0.857,hybrid_soft_sections+verbs+NP+spacy+fuzzy,porter,VERB,"Notre savoir-faire technologique
Notre attention portée à l’équilibre des collaborateurs",1.2,apporter,85.71428571428572
OFF_001,ASSURER,1.0,hybrid_soft_sections+verbs+NP+spacy+fuzzy,assurer,VERB,Réseau et en assurer la continuité.,1.0,assurer,100.0
OFF_001,CONFIER,0.824,hybrid_soft_sections+verbs+NP+spacy+fuzzy,configurer,VERB,et configurer les serveurs de virtualisation nécessaires aux différents environnements de tests,1.0,confier,82.35294117647058
OFF_001,ANTICIPER,0.842,hybrid_soft_sections+verbs+NP+spacy+fuzzy,participer,VERB,".
Déployer et paramétrer les routeurs virtuels au sein de cette architecture.
Automatiser le lancement des machines virtuelles (VM) ainsi que leurs interconnexions, conformément à la topologie définie.
Participer au lanc",1.0,anticiper,84.21052631578947
OFF_001,PROMOUVOIR,0.824,hybrid_soft_sections+verbs+NP+spacy+fuzzy,pouvoir,VERB,"Voir plus d’options
Personnes que vous pouvez contacter
Meriem et d’autres membres de votre réseau
Tout afficher
À propos de l’offre d’emploi
Lieu : Cristal, France
Construisons ensemble un avenir de confiance",1.0,promouvoir,82.35294117647058
OFF_001,OFFRIR,1.0,hybrid_soft_sections+verbs+NP+spacy+fuzzy,offrir,VERB,"Voir plus d’options
Personnes que vous pouvez contacter
Meriem et d’autres membres de votre réseau
Tout afficher
À propos de l’offre d’emploi
Lieu : Cristal, France
Construisons ensemble un avenir de confiance",1.0,offrir,100.0
OFF_001,CONTRIBUER,1.0,hybrid_soft_sections+verbs+NP+spacy+fuzzy,contribuer,VERB,"Il développe des produits et solutions qui contribuent à un monde plus sûr, plus respectueux de l’environnement et plus inclusif.",1.0,contribuer,100.0
OFF_001,REDIGER,0.95,hybrid_soft_sections+verbs+NP+spacy+fuzzy,rediger,NP,Rédiger,0.8,rediger,100.0
OFF_001,PROPOSER,0.814,hybrid_soft_sections+verbs+NP+spacy+fuzzy,propos,NP,propos,0.8,proposer,85.71428571428572
OFF_001,RECHERCHER,0.9,hybrid_soft_sections+verbs+NP+spacy+fuzzy,recherche,NP,Recherche,0.8,rechercher,94.73684210526316
OFF_001,COLLABORER,0.792,hybrid_soft_sections+verbs+NP+spacy+fuzzy,collaborateurs,NP,collaborateurs,0.8,collaborer,83.33333333333334
OFF_001,APPRENDRE,0.582,hybrid_soft_sections+verbs+NP+spacy+fuzzy,prendre,VERB,Prendre en main les travaux déjà initiés par l’équipe,0.35,apprendre,87.5
OFF_001,DEFINIR,0.665,hybrid_soft_sections+verbs+NP+spacy+fuzzy,definir,VERB,".
Définir",0.35,definir,100.0
OFF_002,ANIMER,0.909,hybrid_soft_sections+verbs+NP+spacy+fuzzy,aimer,VERB,"Vous aimez le travail en équipe
Vous savez faire preuve de flexibilité, mais également prendre des décisions, arbitrer et respecter des engagements
Vous aimez intervenir dans un environnement dynamique avec la possibilit",2.64,animer,90.9090909090909
OFF_002,PROSPECTER,0.842,hybrid_soft_sections+verbs+NP+spacy+fuzzy,respecter,VERB,"Vous aimez le travail en équipe
Vous savez faire preuve de flexibilité, mais également prendre des décisions, arbitrer et respecter des engagements
Vous aimez intervenir dans un environnement dynamique avec la possibilit",1.32,prospecter,84.21052631578947
OFF_002,CONTRIBUER,0.842,hybrid_soft_sections+verbs+NP+spacy+fuzzy,continuer,VERB,"Amélioration continue, capitalisation et innovation
Pilotage des fournisseurs externes
Application des process DSF et de la bonne utilisation des outils associés
A noter également en fonction de vos souhaits et des oppor",1.0,contribuer,84.21052631578947
OFF_002,PROMOUVOIR,0.824,hybrid_soft_sections+verbs+NP+spacy+fuzzy,pouvoir,VERB,"Voir plus d’options
Personnes que vous pouvez contacter
Logo de Université Paris-Saclay
Logo de Université Paris-Saclay
Des anciens élèves de l’école",1.0,promouvoir,82.35294117647058
OFF_002,OFFRIR,1.0,hybrid_soft_sections+verbs+NP+spacy+fuzzy,offrir,VERB,"Services France / Région Grand Ouest
Message
À propos de l’offre d’",1.0,offrir,100.0
OFF_002,BUDGETER,0.814,hybrid_soft_sections+verbs+NP+spacy+fuzzy,budget,NP,budget,0.8,budgeter,85.71428571428572
OFF_002,CONSEILLER,0.782,hybrid_soft_sections+verbs+NP+spacy+fuzzy,conseil,NP,conseil,0.8,conseiller,82.35294117647058
